,department,name,cost,people,date,category
135,기획조정실,써밋뷰,193000,7,2023-04-12, 카페
137,기획조정실,오롯이,64000,3,2023-04-13, 일식
138,기획조정실,하나샤브샤브,374000,14,2023-04-17, 샤브샤브
139,기획조정실,예원,69000,4,2023-04-21, 중식 
140,기획조정실,명장복집,132000,5,2023-04-24, 한식 
141,기획조정실,르비프,107000,4,2023-04-26, 양식 
144,기획조정실,씨유(CU),112000,7,2023-04-28, 편의점 
145,나성동,홈마트,28840,30,2023-04-05, 슈퍼마켓
146,노인장애인과,남도밥집,108000,6,2023-04-05, 한식
147,노인장애인과,양우명가화로구이,162000,6,2023-04-18, 한식
148,노인장애인과,맛있는반찬(시니어클럽),105000,30,2023-04-21,미분류
149,노인장애인과,수미가찌개전문점,60000,5,2023-04-24, 한식 
150,노인장애인과,부뚜막,66000,6,2023-04-27, 한식
151,농업기술센터,오보만족,82000,5,2023-04-04, 한식 
152,농업기술센터,숙달돼지진주평거점,126500,5,2023-04-06,미분류
153,농업기술센터,설향,79000,3,2023-04-07,미분류
154,농업기술센터,하모니마트,51000,20,2023-04-13, 슈퍼마켓
155,농업기술센터,해송플러스한우,180000,6,2023-04-18,미분류
156,농업기술센터,시골영양탕,100000,4,2023-04-25, 한식 
157,농업기술센터,농업회사법인로컬푸드주식회사,70000,5,2023-04-25,미분류
158,농업정책과,세종장어대가,472000,16,2023-04-03, 한식 
159,농업정책과,굴천지&초계국수,45000,3,2023-04-05, 한식 
161,다정동,코지하우스,47600,3,2023-04-03, 양식 
162,다정동,바른초밥,49000,4,2023-04-06, 일식 
164,다정동,자장자장,143000,8,2023-04-17, 중식 
165,대외협력담당관,플레져,132500,20,2023-04-04, 카페
166,대외협력담당관,보비스쿰커피랩,11000,5,2023-04-05,미분류
167,대외협력담당관,환이네갈비살,56000,4,2023-04-06, 한식 
168,대외협력담당관,이디야커피시,424500,24,2023-04-06,미분류
169,대외협력담당관,대보유통남성주(창원)휴게소,93300,5,2023-04-07,미분류
170,대외협력담당관,성경만두요리전문점금남점,132000,10,2023-04-11, 한식
171,대외협력담당관,믹스토랑,77400,5,2023-04-14, 양식
173,대외협력담당관,사키,108000,6,2023-04-17, 일식
174,대외협력담당관,조새호,461000,15,2023-04-19, 한식 
176,대외협력담당관,연와종,38000,4,2023-04-25, 일식 
177,대외협력담당관,써밋뷰,241000,11,2023-04-26, 카페
178,대외협력담당관,마세오른,136000,7,2023-04-27,미분류
179,대평동,헤브론,100000,4,2023-04-04, 양식 
180,대평동,박중사의힘내부대찌개,55000,5,2023-04-19,미분류
181,도담동,커피하우스,130000,100,2023-04-18, 카페 
182,도담동,홍루이젠도담점,82000,10,2023-04-25, 패스트푸드 
183,도담동,이리추어탕,214000,15,2023-04-26, 한식 
184,도담동,도담도담떡방,75000,20,2023-04-28, 간식 
185,도로과,고무래식당,48000,5,2023-04-17, 한식
186,도로과,예원,35000,4,2023-04-18, 중식 
187,도로과,해밀,108000,5,2023-04-19," 관광,명소 "
188,도로과,시골영양탕,72000,4,2023-04-20, 한식 
